Year,Geography,Age Group,Gender,Indicators,VALUE
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",2500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",4100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",29.2
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",11.8
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",46.6
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",2300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",800.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",3700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",26.5
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",9.9
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",43.2
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, excellent or very good",5700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, excellent or very good",3500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, excellent or very good",7900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, excellent or very good",66.9
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, excellent or very good",48.2
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, excellent or very good",85.6
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",4200.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",2100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",6400.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",49.8
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",29.2
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, excellent or very good",70.4
2023,Newfoundland and Labrador,12 to 14 years,Male,"Life satisfaction, satisfied or very satisfied",7600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Life satisfaction, satisfied or very satisfied",5300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Life satisfaction, satisfied or very satisfied",9900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Life satisfaction, satisfied or very satisfied",89.3
2023,Newfoundland and Labrador,12 to 14 years,Male,"Life satisfaction, satisfied or very satisfied",78.8
2023,Newfoundland and Labrador,12 to 14 years,Male,"Life satisfaction, satisfied or very satisfied",99.9
2023,Newfoundland and Labrador,12 to 14 years,Male,Met sleep guidelines in the last 7 days,4600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Met sleep guidelines in the last 7 days,2400.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Met sleep guidelines in the last 7 days,6700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Met sleep guidelines in the last 7 days,53.7
2023,Newfoundland and Labrador,12 to 14 years,Male,Met sleep guidelines in the last 7 days,33.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Met sleep guidelines in the last 7 days,74.3
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, fair or poor",8300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, fair or poor",6100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, fair or poor",10600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, fair or poor",97.9
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, fair or poor",93.6
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived health, fair or poor",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, fair or poor",6900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, fair or poor",4600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, fair or poor",9200.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, fair or poor",81.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, fair or poor",66.9
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived mental health, fair or poor",95.1
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily or occasionally",7200.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily or occasionally",5000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily or occasionally",9400.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily or occasionally",93.9
